data;temp_avg;temp_min;temp_max;precip;weekend;beer_consumption
2015-08-20;16,2;14,8;19,6;0;False;17.655
2015-08-21;16,84;13,2;22,1;1;False;23.243
2015-08-22;18,08;14,1;26,2;0;True;30.177
2015-08-23;20,22;13,5;30;0;True;27.518
2015-08-24;16,98;15,1;20,5;0;False;23.210
2015-08-25;16,98;14,3;20,5;2,4;False;21.092
2015-08-26;18,92;14,8;;0,6;False;23.357
2015-08-27;16,1;13,8;19,8;2,6;False;17.888
2015-08-28;16,28;12,8;22,1;25;False;22.217
2015-08-29;18,46;12,2;26,7;0;True;31.681
2015-08-30;22,52;14,3;32;0;True;31.833
2015-08-31;24,54;16,6;32,2;0;False;28.441
2015-09-01;21,44;17,2;30,7;0;False;22.389
2015-09-02;16,1;14,1;20,2;0,4;False;20.681
2015-09-03;19,3;14,8;25;0;False;24.222
2015-09-04;16,66;15,2;19,3;0;False;19.345
2015-09-05;16,12;14,4;18,5;2,4;True;21.827
2015-09-06;16,48;13,3;19,9;0;True;23.566
2015-09-07;18,72;13,8;24,4;0,1;False;20.227
2015-09-08;17,08;15,8;19,2;23,6;False;17.075
2015-09-09;18,82;15,8;22,9;58;False;16.977
2015-09-10;18,92;13,9;25,6;0;False;21.525
2015-09-11;16,88;14,1;21,8;31,8;False;21.454
2015-09-12;14;12,8;15,6;27,6;True;21.814
2015-09-13;14,18;12,5;16,1;0;True;21.252
2015-09-14;16,46;13;22,5;0,2;False;20.464
2015-09-15;21,18;14,4;30,1;0;False;30.775
2015-09-16;25,24;17,2;32,6;0;False;25.343
2015-09-17;27,26;20,4;33;0;False;33.930
2015-09-18;28,06;21,3;34,5;0;False;26.311
2015-09-19;28;21,1;35,5;0;True;31.836
2015-09-20;23,6;19,2;33,3;0;True;34.695
2015-09-21;24,72;17,4;32,8;0;False;29.829
2015-09-22;25,7;18,9;33,3;0;False;26.362
2015-09-23;26,14;18,3;34;0;False;32.589
2015-09-24;28,3;20,5;35,3;0;False;30.345
2015-09-25;23,24;19,2;30,3;0;False;29.411
2015-09-26;20,58;18,2;24,9;28,6;True;29.637
2015-09-27;22,3;18,2;30,6;1,8;True;32.184
2015-09-28;21,22;17,5;23,6;27,2;False;17.731
2015-09-29;21,8;17,5;27,1;0;False;24.114
2015-09-30;21,52;18,6;27,6;0;False;28.034
2015-10-01;20,96;17,6;26,4;7,6;False;22.664
2015-10-02;24,74;19,3;32,7;0;False;27.488
2015-10-03;20,28;16,1;25;25;True;24.876
2015-10-04;18,6;17,1;21,3;0,2;True;24.862
2015-10-05;17,36;14,8;22,4;0;False;24.679
2015-10-06;18,26;14,6;24,7;0;False;22.304
2015-10-07;24,5;15,9;32,6;0;False;30.329
2015-10-08;26,56;19,3;34;0;False;33.182
2015-10-09;24,52;19,8;29;0;False;23.849
2015-10-10;23,06;19,6;28;0,3;True;33.330
2015-10-11;22,48;19,6;30;0;True;34.496
2015-10-12;22,76;19;29,6;0;False;26.249
2015-10-13;21,4;18,1;27,6;2,4;False;26.523
2015-10-14;23,62;18,2;28,5;0;False;26.793
2015-10-15;28,12;18,9;35,8;0;False;35.861
2015-10-16;26,24;21,3;35,7;0;False;27.387
2015-10-17;21,22;17,3;29,2;0;True;32.666
2015-10-18;16,76;15,5;19,2;0,1;True;22.199
2015-10-19;19,86;15,5;27,2;0;False;24.000
2015-10-20;26,3;17,2;35,3;0;False;27.871
2015-10-21;24,62;21,3;32;0;False;31.139
2015-10-22;19,9;17,7;22,8;14,6;False;23.065
2015-10-23;20,5;17,6;27,3;13,4;False;26.594
2015-10-24;17,94;16,2;21,2;0;True;27.657
2015-10-25;17,64;15,7;19,2;0;True;26.594
2015-10-26;20,86;16;28,5;28,4;False;28.084
2015-10-27;22;19,1;28,4;0,1;False;27.582
2015-10-28;20,42;18,6;23,9;0;False;24.862
2015-10-29;20,56;18,2;24,8;0;False;22.634
2015-10-30;23,86;19,1;31,2;0;False;31.649
2015-10-31;23,18;18,2;29,3;0;True;35.781
2015-11-01;20,22;18,7;22,4;27,2;True;24.429
2015-11-02;21,82;18,3;27,2;39,6;False;20.648
2015-11-03;21,86;19,5;25,6;3,4;False;22.741
2015-11-04;21,52;18,6;27,4;6,8;False;21.479
2015-11-05;21,8;18,2;24,8;39,3;False;23.134
2015-11-06;;18;22,8;0;False;20.575
2015-11-07;18,3;16,8;20;1,2;True;24.330
2015-11-08;20,24;17,4;23,9;0,6;True;28.610
2015-11-09;22,98;18,7;29,5;4,4;False;28.456
2015-11-10;23,72;19,4;31,8;10,4;False;27.964
2015-11-11;;19,8;32,7;0;False;29.569
2015-11-12;23,78;20,8;31,8;0;False;29.267
2015-11-13;22,78;19,4;29,6;0;False;28.647
2015-11-14;25,06;19,5;30,4;16,4;True;26.836
2015-11-15;23,06;19,8;29,7;8;True;29.386
2015-11-16;21,16;19,4;24,9;0;False;24.609
2015-11-17;21,76;17,7;29,7;0;False;26.964
2015-11-18;25,5;17,6;30,5;14,1;False;23.614
2015-11-19;26,16;23,3;30,4;0;False;22.960
2015-11-20;0;19,6;27;6,8;False;20.332
2015-11-21;19,44;17,2;24,4;7,2;True;30.392
2015-11-22;22,26;17,1;28,8;0;True;31.933
2015-11-23;20,8;19,6;23,6;13,6;False;21.662
2015-11-24;21,36;19,3;22,6;7;False;21.689
2015-11-25;21,26;19,3;24,8;0,4;False;25.119
2015-11-26;22,28;19;27,4;0;False;25.285
2015-11-27;22,28;17,6;28,4;0;False;28.979
2015-11-28;23,7;18,7;29,8;0;True;34.382
2015-11-29;22,38;20,5;26;17,4;True;30.617
2015-11-30;19,1;16,7;23,3;23,4;False;20.238
2015-12-01;20,1;16,4;25,8;0;False;24.529
2015-12-02;22,1;18,2;29,4;0;False;30.471
2015-12-03;22,44;20,2;26,1;0;False;28.405
2015-12-04;22,76;19;29,1;0;False;29.513
2015-12-05;24,8;19,5;30,6;0,1;True;32.451
2015-12-06;0;20,6;28;0,1;True;32.780
2015-12-07;20,04;18;23,9;47,8;False;23.375
2015-12-08;21,7;18;28;0;False;27.713
2015-12-09;23,96;19,6;27,9;0;False;27.137
2015-12-10;24;22,2;27,7;0;False;22.933
2015-12-11;24,04;20,7;30,3;0;False;30.740
2015-12-12;23,92;20,6;30,8;0;True;29.579
2015-12-13;24,54;19,3;31;12,2;True;29.188
2015-12-14;26,28;21,1;32,5;2;False;28.131
2015-12-15;25,66;20,6;32,8;4;False;28.617
2015-12-16;22,04;20,7;24,8;1,5;False;21.062
2015-12-17;23,32;18,9;28,7;0;False;24.337
2015-12-18;26,42;19,6;33,5;0,1;False;27.042
2015-12-19;23,74;19,8;31,3;1,3;True;32.536
2015-12-20;22,84;19,6;29;8,4;True;30.127
2015-12-21;23,12;19,6;29,1;27,2;False;24.834
2015-12-22;24,6;19,6;32,4;43;False;26.828
2015-12-23;27,46;22,1;32,4;3;False;26.468
2015-12-24;24,72;20,5;31,5;3,4;False;31.572
2015-12-25;23,58;17,8;31;39;False;26.308
2015-12-26;23,34;17,8;29,8;94,8;True;21.955
2015-12-27;24;21,1;28,2;13,6;True;32.307
2015-12-28;22,64;21,1;26,7;0;False;26.095
2015-12-29;21,68;20,3;24,1;10,3;False;22.309
2015-12-30;21,38;19,3;22,4;6,3;False;20.467
2015-12-31;24,76;20,2;29;0;False;22.446
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
